iter	Passed	Remaining
689	3929	53017
690	3933	52992
691	3937	52966
692	3942	52945
693	3947	52929
694	3953	52930
695	3958	52913
696	3964	52914
697	3967	52879
698	3976	52906
699	3983	52923
700	3988	52902
701	3992	52882
702	3997	52860
703	4001	52835
704	4005	52813
705	4010	52790
706	4014	52768
707	4018	52742
708	4022	52718
709	4027	52696
710	4031	52673
711	4036	52652
712	4040	52629
713	4045	52608
714	4049	52588
715	4060	52652
716	4066	52646
717	4070	52626
718	4075	52605
719	4079	52581
720	4083	52557
721	4088	52535
722	4092	52516
723	4097	52494
724	4101	52473
725	4106	52452
726	4110	52430
727	4114	52408
728	4117	52368
729	4122	52344
730	4126	52324
731	4131	52304
732	4135	52285
733	4143	52311
734	4149	52308
735	4155	52310
736	4161	52308
737	4172	52363
738	4178	52363
739	4181	52329
740	4186	52309
741	4190	52289
742	4195	52273
743	4198	52227
744	4202	52207
745	4206	52183
746	4211	52164
747	4215	52143
748	4219	52120
749	4224	52099
750	4228	52079
751	4233	52056
752	4237	52036
753	4241	52012
754	4245	51989
755	4249	51966
756	4254	51946
757	4258	51927
758	4263	51907
759	4267	51884
760	4271	51861
761	4276	51839
762	4280	51819
763	4284	51798
764	4289	51777
765	4293	51758
766	4296	51722
767	4301	51704
768	4305	51685
769	4310	51667
770	4314	51644
771	4318	51623
772	4323	51603
773	4331	51630
774	4337	51631
775	4344	51641
776	4354	51689
777	4359	51677
778	4364	51658
779	4368	51638
780	4373	51620
781	4377	51602
782	4381	51580
783	4386	51559
784	4390	51540
785	4394	51520
786	4399	51501
787	4403	51482
788	4408	51463
789	4412	51447
790	4417	51427
791	4421	51407
792	4426	51389
793	4430	51367
794	4434	51348
795	4439	51331
796	4443	51309
797	4447	51287
798	4451	51257
799	4455	51238
800	4459	51219
801	4464	51199
802	4468	51179
803	4471	51144
804	4476	51126
805	4480	51107
806	4484	51089
807	4489	51070
808	4493	51049
809	4497	51031
810	4502	51014
811	4506	50993
812	4512	50992
813	4518	50987
814	4523	50983
815	4529	50975
816	4536	50994
817	4544	51015
818	4549	51001
819	4553	50981
820	4558	50963
821	4562	50945
822	4567	50927
823	4571	50909
824	4576	50892
825	4580	50872
826	4584	50853
827	4588	50833
828	4593	50816
829	4598	50800
830	4602	50779
831	4605	50745
832	4609	50724
833	4613	50708
834	4618	50690
835	4620	50650
836	4623	50617
837	4628	50599
838	4632	50583
839	4636	50563
840	4639	50529
841	4644	50510
842	4648	50491
843	4652	50473
844	4655	50440
845	4659	50420
846	4663	50395
847	4667	50377
848	4672	50360
849	4676	50340
850	4680	50323
851	4685	50312
852	4690	50302
853	4696	50293
854	4701	50288
855	4709	50303
856	4715	50307
857	4722	50313
858	4732	50358
859	4736	50341
860	4740	50321
861	4743	50288
862	4748	50270
863	4752	50254
864	4757	50237
865	4761	50220
866	4765	50204
867	4768	50172
868	4773	50156
869	4777	50138
870	4781	50118
871	4786	50102
872	4790	50083
873	4794	50066
874	4799	50049
875	4803	50034
876	4807	50008
877	4811	49991
878	4816	49976
879	4820	49957
880	4824	49939
881	4828	49920
882	4833	49904
883	4837	49886
884	4842	49870
885	4846	49854
886	4849	49822
887	4852	49791
888	4856	49774
889	4859	49742
890	4863	49724
891	4867	49705
892	4872	49689
893	4876	49672
894	4881	49656
895	4885	49640
896	4892	49647
897	4898	49649
898	4904	49646
899	4909	49644
900	4916	49647
901	4926	49694
902	4931	49678
903	4936	49665
904	4939	49635
905	4943	49618
906	4947	49602
907	4952	49588
908	4956	49570
909	4960	49554
910	4963	49517
911	4966	49487
912	4970	49470
913	4974	49454
914	4979	49438
915	4995	49544
916	5001	49536
917	5006	49527
918	5009	49497
919	5013	49481
920	5017	49464
921	5022	49449
922	5025	49419
923	5029	49403
924	5033	49387
925	5038	49371
926	5041	49342
927	5045	49326
928	5048	49296
929	5052	49280
930	5057	49265
931	5061	49250
932	5066	49235
933	5070	49218
934	5074	49203
935	5079	49189
936	5085	49186
937	5091	49190
938	5097	49191
939	5105	49210
940	5113	49230
941	5118	49216
942	5122	49203
943	5127	49186
944	5131	49170
945	5135	49152
946	5140	49138
947	5144	49124
948	5149	49108
949	5153	49094
950	5157	49078
951	5162	49062
952	5166	49048
953	5171	49033
954	5175	49017
955	5179	49000
956	5183	48985
957	5188	48973
958	5193	48960
959	5197	48944
960	5202	48932
961	5206	48916
962	5211	48902
963	5215	48888
964	5219	48871
965	5224	48857
966	5229	48846
967	5232	48818
968	5236	48804
969	5241	48790
970	5245	48774
971	5249	48760
972	5254	48746
973	5258	48732
974	5263	48719
975	5268	48712
